Step,Time_stamp,Bacteria_Count,Glucose_Count,Metabolite_Count,Growth_Rate,Average_ATP,Min_ATP,Max_ATP,Total_ATP,ATP_StdDev,Total_Metabolites_Produced,Avg_Metabolites_Per_Bacteria,Avg_Metabolite_Concentration,Avg_Bacteria_X,Avg_Bacteria_Y,Bacteria_Spatial_Std,Avg_Glucose_X,Avg_Glucose_Y,Glucose_Spatial_Std,Glucose_Per_Bacteria,ATP_Per_Glucose,Metabolites_Per_Glucose,ATP_Per_Bacteria,Metabolites_Per_Bacteria
0,2025-06-20 17:09:09.086549,48,994,49,1.000,195.50,195.50,195.50,9384.00,0.00,48,1.00,0.300,0.000010,0.000010,0.000012,0.000010,0.000010,0.000012,20.71,9.44,0.05,195.50,1.00
1,2025-06-20 17:09:09.087073,45,977,97,0.938,191.00,191.00,191.00,8595.00,0.00,90,2.00,0.299,0.000010,0.000011,0.000012,0.000010,0.000009,0.000012,21.71,8.80,0.10,191.00,2.00
2,2025-06-20 17:09:09.087551,43,937,140,0.956,186.50,186.50,186.50,8019.50,0.00,129,3.00,0.299,0.000011,0.000011,0.000012,0.000010,0.000008,0.000012,21.79,8.56,0.15,186.50,3.00
3,2025-06-20 17:09:09.087997,43,877,183,1.000,182.00,182.00,182.00,7826.00,0.00,172,4.00,0.298,0.000011,0.000010,0.000012,0.000010,0.000007,0.000012,20.40,8.92,0.21,182.00,4.00
4,2025-06-20 17:09:09.088692,43,805,226,1.000,177.50,177.50,177.50,7632.50,0.00,215,5.00,0.298,0.000010,0.000011,0.000012,0.000010,0.000007,0.000012,18.72,9.48,0.28,177.50,5.00
5,2025-06-20 17:09:09.089155,43,748,268,1.000,173.00,173.00,173.00,7439.00,0.00,258,6.00,0.297,0.000011,0.000011,0.000012,0.000010,0.000007,0.000012,17.40,9.95,0.36,173.00,6.00
6,2025-06-20 17:09:09.089730,43,696,311,1.000,168.50,168.50,168.50,7245.50,0.00,301,7.00,0.297,0.000011,0.000011,0.000012,0.000010,0.000007,0.000012,16.19,10.41,0.45,168.50,7.00
7,2025-06-20 17:09:09.090143,42,653,353,0.977,164.00,164.00,164.00,6888.00,0.00,336,8.00,0.296,0.000010,0.000010,0.000012,0.000010,0.000007,0.000012,15.55,10.55,0.54,164.00,8.00
8,2025-06-20 17:09:09.090945,42,624,394,1.000,159.50,159.50,159.50,6699.00,0.00,378,9.00,0.296,0.000010,0.000010,0.000012,0.000010,0.000007,0.000012,14.86,10.74,0.63,159.50,9.00
9,2025-06-20 17:09:09.091753,41,578,435,0.976,155.00,155.00,155.00,6355.00,0.00,410,10.00,0.295,0.000010,0.000011,0.000012,0.000010,0.000007,0.000012,14.10,10.99,0.75,155.00,10.00
10,2025-06-20 17:09:09.092534,41,525,475,1.000,150.50,150.50,150.50,6170.50,0.00,451,11.00,0.295,0.000010,0.000011,0.000012,0.000010,0.000007,0.000013,12.80,11.75,0.90,150.50,11.00
11,2025-06-20 17:09:09.092855,40,498,516,0.976,146.00,146.00,146.00,5840.00,0.00,480,12.00,0.294,0.000010,0.000011,0.000012,0.000010,0.000007,0.000013,12.45,11.73,1.04,146.00,12.00
12,2025-06-20 17:09:09.093160,40,474,555,1.000,141.50,141.50,141.50,5660.00,0.00,520,13.00,0.293,0.000010,0.000010,0.000012,0.000010,0.000008,0.000013,11.85,11.94,1.17,141.50,13.00
13,2025-06-20 17:09:09.093455,40,451,595,1.000,137.00,137.00,137.00,5480.00,0.00,560,14.00,0.293,0.000010,0.000010,0.000012,0.000010,0.000008,0.000012,11.28,12.15,1.32,137.00,14.00
14,2025-06-20 17:09:09.093754,39,430,634,0.975,132.50,132.50,132.50,5167.50,0.00,585,15.00,0.292,0.000010,0.000010,0.000012,0.000010,0.000008,0.000012,11.03,12.02,1.47,132.50,15.00
15,2025-06-20 17:09:09.094039,39,396,673,1.000,128.00,128.00,128.00,4992.00,0.00,624,16.00,0.292,0.000010,0.000010,0.000012,0.000010,0.000008,0.000012,10.15,12.61,1.70,128.00,16.00
16,2025-06-20 17:09:09.094340,39,380,710,1.000,123.50,123.50,123.50,4816.50,0.00,663,17.00,0.291,0.000010,0.000010,0.000012,0.000010,0.000008,0.000013,9.74,12.67,1.87,123.50,17.00
17,2025-06-20 17:09:09.094634,39,358,749,1.000,119.00,119.00,119.00,4641.00,0.00,702,18.00,0.291,0.000010,0.000010,0.000012,0.000010,0.000007,0.000012,9.18,12.96,2.09,119.00,18.00
18,2025-06-20 17:09:09.094916,39,334,749,1.000,118.50,118.50,118.50,4621.50,0.00,702,18.00,0.290,0.000010,0.000010,0.000012,0.000010,0.000007,0.000012,8.56,13.84,2.24,118.50,18.00
19,2025-06-20 17:09:09.095191,39,314,749,1.000,118.00,118.00,118.00,4602.00,0.00,702,18.00,0.289,0.000010,0.000010,0.000012,0.000010,0.000007,0.000013,8.05,14.66,2.39,118.00,18.00
20,2025-06-20 17:09:09.095475,39,348,749,1.000,117.50,117.50,117.50,4582.50,0.00,702,18.00,0.288,0.000010,0.000010,0.000012,0.000010,0.000008,0.000013,8.92,13.17,2.15,117.50,18.00
21,2025-06-20 17:09:09.095750,39,333,749,1.000,117.00,117.00,117.00,4563.00,0.00,702,18.00,0.287,0.000010,0.000010,0.000012,0.000010,0.000008,0.000013,8.54,13.70,2.25,117.00,18.00
22,2025-06-20 17:09:09.096021,39,314,749,1.000,116.50,116.50,116.50,4543.50,0.00,702,18.00,0.285,0.000010,0.000010,0.000012,0.000010,0.000009,0.000013,8.05,14.47,2.39,116.50,18.00
23,2025-06-20 17:09:09.096301,39,293,749,1.000,116.00,116.00,116.00,4524.00,0.00,702,18.00,0.284,0.000010,0.000010,0.000012,0.000010,0.000009,0.000013,7.51,15.44,2.56,116.00,18.00
24,2025-06-20 17:09:09.096572,39,273,749,1.000,115.50,115.50,115.50,4504.50,0.00,702,18.00,0.283,0.000010,0.000011,0.000012,0.000010,0.000009,0.000013,7.00,16.50,2.74,115.50,18.00
25,2025-06-20 17:09:09.096830,39,256,749,1.000,115.00,115.00,115.00,4485.00,0.00,702,18.00,0.282,0.000010,0.000011,0.000012,0.000010,0.000008,0.000013,6.56,17.52,2.93,115.00,18.00
26,2025-06-20 17:09:09.097085,39,246,749,1.000,114.50,114.50,114.50,4465.50,0.00,702,18.00,0.281,0.000010,0.000011,0.000012,0.000010,0.000008,0.000013,6.31,18.15,3.04,114.50,18.00
27,2025-06-20 17:09:09.097338,38,231,749,0.974,114.00,114.00,114.00,4332.00,0.00,684,18.00,0.280,0.000010,0.000011,0.000012,0.000010,0.000008,0.000013,6.08,18.75,3.24,114.00,18.00
28,2025-06-20 17:09:09.097591,37,220,749,0.974,113.50,113.50,113.50,4199.50,0.00,666,18.00,0.279,0.000011,0.000011,0.000012,0.000010,0.000008,0.000013,5.95,19.09,3.40,113.50,18.00
29,2025-06-20 17:09:09.097880,37,204,749,1.000,113.00,113.00,113.00,4181.00,0.00,666,18.00,0.278,0.000011,0.000011,0.000012,0.000010,0.000008,0.000013,5.51,20.50,3.67,113.00,18.00
